vo2max,gender,age,age_low,age_high
37.09,1.0,36.0,30.0,39.0
35.0,0.0,18.0,10.0,19.0
39.75,1.0,17.0,10.0,19.0
34.52,0.0,15.0,10.0,19.0
43.01,0.0,14.0,10.0,19.0
36.28,0.0,43.0,40.0,49.0
33.37,0.0,48.0,40.0,49.0
46.25,1.0,13.0,10.0,19.0
44.6,1.0,43.0,40.0,49.0
39.8,1.0,17.0,10.0,19.0
38.0,1.0,12.0,10.0,19.0
70.79,1.0,13.0,10.0,19.0
37.29,1.0,43.0,40.0,49.0
37.6,0.0,17.0,10.0,19.0
51.58,1.0,16.0,10.0,19.0
34.96,0.0,19.0,10.0,19.0
39.03,1.0,39.0,30.0,39.0
32.1,1.0,13.0,10.0,19.0
40.31,0.0,13.0,10.0,19.0
43.89,1.0,18.0,10.0,19.0
41.67,1.0,15.0,10.0,19.0
52.7,1.0,19.0,10.0,19.0
30.8,0.0,14.0,10.0,19.0
38.45,1.0,15.0,10.0,19.0
33.03,1.0,14.0,10.0,19.0
35.72,1.0,31.0,30.0,39.0
42.2,0.0,14.0,10.0,19.0
28.29,0.0,15.0,10.0,19.0
30.27,0.0,12.0,10.0,19.0
66.33,1.0,16.0,10.0,19.0
37.93,0.0,19.0,10.0,19.0
55.75,1.0,33.0,30.0,39.0
39.92,1.0,28.0,20.0,29.0
43.55,1.0,12.0,10.0,19.0
37.6,0.0,35.0,30.0,39.0
38.85,0.0,18.0,10.0,19.0
50.16,1.0,17.0,10.0,19.0
61.42,1.0,14.0,10.0,19.0
47.23,1.0,44.0,40.0,49.0
30.53,0.0,15.0,10.0,19.0
49.74,0.0,17.0,10.0,19.0
37.03,1.0,32.0,30.0,39.0
32.21,1.0,34.0,30.0,39.0
31.01,0.0,13.0,10.0,19.0
33.59,1.0,13.0,10.0,19.0
37.06,1.0,15.0,10.0,19.0
32.74,0.0,12.0,10.0,19.0
34.93,0.0,19.0,10.0,19.0
52.66,0.0,19.0,10.0,19.0
38.17,1.0,12.0,10.0,19.0
46.7,1.0,16.0,10.0,19.0
50.3,1.0,26.0,20.0,29.0
39.79,0.0,15.0,10.0,19.0
32.1,1.0,36.0,30.0,39.0
35.82,1.0,37.0,30.0,39.0
27.7,0.0,13.0,10.0,19.0
37.31,0.0,17.0,10.0,19.0
46.63,1.0,33.0,30.0,39.0
39.25,1.0,43.0,40.0,49.0
34.42,0.0,37.0,30.0,39.0
56.44,1.0,17.0,10.0,19.0
47.72,0.0,13.0,10.0,19.0
34.52,0.0,14.0,10.0,19.0
27.85,0.0,19.0,10.0,19.0
32.46,0.0,20.0,20.0,29.0
24.82,0.0,15.0,10.0,19.0
31.91,1.0,33.0,30.0,39.0
65.6,1.0,32.0,30.0,39.0
35.51,1.0,13.0,10.0,19.0
35.27,0.0,48.0,40.0,49.0
30.28,0.0,18.0,10.0,19.0
35.86,1.0,13.0,10.0,19.0
47.04,1.0,31.0,30.0,39.0
39.95,1.0,35.0,30.0,39.0
41.56,0.0,17.0,10.0,19.0
41.66,0.0,12.0,10.0,19.0
32.52,1.0,17.0,10.0,19.0
48.6,0.0,12.0,10.0,19.0
37.4,1.0,29.0,20.0,29.0
31.51,0.0,23.0,20.0,29.0
29.41,0.0,12.0,10.0,19.0
55.7,1.0,16.0,10.0,19.0
39.02,1.0,15.0,10.0,19.0
35.54,0.0,19.0,10.0,19.0
37.59,1.0,18.0,10.0,19.0
38.9,0.0,16.0,10.0,19.0
40.91,1.0,13.0,10.0,19.0
46.98,1.0,16.0,10.0,19.0
49.03,0.0,18.0,10.0,19.0
28.6,1.0,16.0,10.0,19.0
39.25,1.0,13.0,10.0,19.0
44.56,1.0,22.0,20.0,29.0
31.63,0.0,17.0,10.0,19.0
33.38,1.0,22.0,20.0,29.0
34.84,0.0,23.0,20.0,29.0
36.78,1.0,40.0,40.0,49.0
52.61,1.0,16.0,10.0,19.0
46.9,1.0,13.0,10.0,19.0
47.32,0.0,33.0,30.0,39.0
34.27,0.0,13.0,10.0,19.0
49.29,1.0,18.0,10.0,19.0
31.4,1.0,17.0,10.0,19.0
36.8,1.0,20.0,20.0,29.0
55.33,1.0,12.0,10.0,19.0
29.53,0.0,34.0,30.0,39.0
58.85,1.0,21.0,20.0,29.0
40.01,0.0,18.0,10.0,19.0
30.78,0.0,17.0,10.0,19.0
54.29,0.0,12.0,10.0,19.0
50.61,1.0,19.0,10.0,19.0
40.96,0.0,18.0,10.0,19.0
43.39,1.0,28.0,20.0,29.0
37.25,1.0,32.0,30.0,39.0
36.56,0.0,14.0,10.0,19.0
37.74,0.0,22.0,20.0,29.0
52.31,1.0,19.0,10.0,19.0
29.31,0.0,31.0,30.0,39.0
27.8,0.0,30.0,30.0,39.0
37.51,0.0,13.0,10.0,19.0
41.73,1.0,16.0,10.0,19.0
46.55,1.0,15.0,10.0,19.0
41.93,0.0,13.0,10.0,19.0
35.64,0.0,12.0,10.0,19.0
44.2,1.0,17.0,10.0,19.0
46.84,1.0,15.0,10.0,19.0
36.51,0.0,15.0,10.0,19.0
34.95,0.0,17.0,10.0,19.0
32.4,0.0,25.0,20.0,29.0
46.07,0.0,26.0,20.0,29.0
60.65,1.0,29.0,20.0,29.0
34.58,1.0,43.0,40.0,49.0
60.06,1.0,12.0,10.0,19.0
39.23,1.0,13.0,10.0,19.0
50.0,1.0,16.0,10.0,19.0
54.54,1.0,18.0,10.0,19.0
40.47,1.0,20.0,20.0,29.0
47.6,1.0,18.0,10.0,19.0
45.92,1.0,15.0,10.0,19.0
49.74,0.0,32.0,30.0,39.0
38.69,0.0,37.0,30.0,39.0
66.05,1.0,15.0,10.0,19.0
38.46,1.0,17.0,10.0,19.0
37.15,1.0,35.0,30.0,39.0
32.85,0.0,40.0,40.0,49.0
52.19,0.0,13.0,10.0,19.0
44.0,1.0,13.0,10.0,19.0
41.65,1.0,18.0,10.0,19.0
37.03,0.0,15.0,10.0,19.0
41.26,0.0,14.0,10.0,19.0
61.24,1.0,14.0,10.0,19.0
42.34,1.0,27.0,20.0,29.0
30.18,0.0,23.0,20.0,29.0
31.64,0.0,18.0,10.0,19.0
41.48,0.0,19.0,10.0,19.0
36.21,0.0,14.0,10.0,19.0
38.05,0.0,16.0,10.0,19.0
30.23,0.0,35.0,30.0,39.0
34.91,1.0,22.0,20.0,29.0
46.08,1.0,15.0,10.0,19.0
43.04,1.0,46.0,40.0,49.0
46.6,0.0,25.0,20.0,29.0
45.98,1.0,12.0,10.0,19.0
31.96,0.0,17.0,10.0,19.0
40.49,0.0,19.0,10.0,19.0
53.64,1.0,14.0,10.0,19.0
37.54,1.0,23.0,20.0,29.0
57.73,1.0,15.0,10.0,19.0
48.28,1.0,29.0,20.0,29.0
43.01,1.0,15.0,10.0,19.0
36.38,1.0,25.0,20.0,29.0
59.46,1.0,14.0,10.0,19.0
43.34,1.0,24.0,20.0,29.0
46.54,0.0,16.0,10.0,19.0
21.9,0.0,42.0,40.0,49.0
35.32,1.0,15.0,10.0,19.0
41.92,0.0,14.0,10.0,19.0
47.91,1.0,47.0,40.0,49.0
53.99,1.0,18.0,10.0,19.0
28.22,0.0,48.0,40.0,49.0
35.0,1.0,16.0,10.0,19.0
32.44,0.0,14.0,10.0,19.0
31.74,0.0,31.0,30.0,39.0
34.87,0.0,13.0,10.0,19.0
34.6,1.0,46.0,40.0,49.0
31.49,0.0,14.0,10.0,19.0
48.86,0.0,14.0,10.0,19.0
32.36,0.0,13.0,10.0,19.0
40.02,1.0,12.0,10.0,19.0
30.2,0.0,12.0,10.0,19.0
42.96,1.0,17.0,10.0,19.0
47.6,1.0,13.0,10.0,19.0
36.31,0.0,16.0,10.0,19.0
32.82,0.0,18.0,10.0,19.0
33.32,0.0,14.0,10.0,19.0
45.92,1.0,12.0,10.0,19.0
31.53,0.0,12.0,10.0,19.0
33.74,0.0,30.0,30.0,39.0
41.86,0.0,16.0,10.0,19.0
44.56,1.0,24.0,20.0,29.0
39.17,0.0,15.0,10.0,19.0
30.68,0.0,17.0,10.0,19.0
33.06,0.0,13.0,10.0,19.0
37.99,1.0,36.0,30.0,39.0
36.69,0.0,18.0,10.0,19.0
31.86,1.0,43.0,40.0,49.0
38.9,0.0,13.0,10.0,19.0
41.24,0.0,18.0,10.0,19.0
31.9,0.0,16.0,10.0,19.0
38.72,1.0,17.0,10.0,19.0
44.93,1.0,29.0,20.0,29.0
32.6,0.0,12.0,10.0,19.0
39.01,0.0,15.0,10.0,19.0
38.15,0.0,42.0,40.0,49.0
42.83,1.0,25.0,20.0,29.0
45.98,1.0,15.0,10.0,19.0
50.23,0.0,14.0,10.0,19.0
45.53,1.0,18.0,10.0,19.0
37.9,0.0,24.0,20.0,29.0
49.16,1.0,14.0,10.0,19.0
51.31,1.0,14.0,10.0,19.0
37.22,0.0,15.0,10.0,19.0
44.62,1.0,44.0,40.0,49.0
31.03,0.0,17.0,10.0,19.0
36.66,0.0,18.0,10.0,19.0
46.06,1.0,25.0,20.0,29.0
29.17,0.0,28.0,20.0,29.0
37.05,1.0,17.0,10.0,19.0
57.26,1.0,20.0,20.0,29.0
50.46,1.0,13.0,10.0,19.0
45.52,1.0,29.0,20.0,29.0
48.25,1.0,17.0,10.0,19.0
53.86,1.0,19.0,10.0,19.0
39.25,0.0,16.0,10.0,19.0
37.3,0.0,15.0,10.0,19.0
44.56,1.0,17.0,10.0,19.0
37.27,0.0,20.0,20.0,29.0
30.66,0.0,12.0,10.0,19.0
47.0,1.0,16.0,10.0,19.0
36.85,0.0,17.0,10.0,19.0
35.21,1.0,14.0,10.0,19.0
32.28,1.0,37.0,30.0,39.0
78.89,0.0,12.0,10.0,19.0
32.82,0.0,20.0,20.0,29.0
47.04,1.0,18.0,10.0,19.0
44.08,1.0,13.0,10.0,19.0
46.09,1.0,34.0,30.0,39.0
41.77,0.0,13.0,10.0,19.0
38.33,0.0,15.0,10.0,19.0
47.95,1.0,30.0,30.0,39.0
38.48,0.0,14.0,10.0,19.0
46.9,1.0,27.0,20.0,29.0
36.59,0.0,19.0,10.0,19.0
30.65,0.0,16.0,10.0,19.0
43.79,1.0,18.0,10.0,19.0
51.74,1.0,28.0,20.0,29.0
41.04,0.0,31.0,30.0,39.0
32.6,1.0,13.0,10.0,19.0
